Offense_Code,Offense_Category,Description,Police_District,Beat,Occurence_Date
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/01/02 04:00:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,6,6B,2021/01/02 03:05:00+00
5212,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,UI,UI,2021/01/02 06:22:00+00
1299,ROBBERY,211 PC ROBBERY-UNSPECIFIED,1,1A,2021/01/03 01:49:00+00
1299,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3A,2021/01/02 02:09:00+00
1602,ESCAPE,4550.1 RESCUE ATTEMPT PRISONER,3,3M,2021/01/01 08:58:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,2021/01/02 17:01:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,2021/01/02 01:32:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,2021/01/03 03:51:00+00
1315,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3M,2021/01/03 01:40:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,6,6A,2021/01/03 03:27:00+00
5212,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,2021/01/03 05:33:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,2021/01/02 16:57:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,5,5A,2021/01/01 09:15:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2A,2021/01/02 23:30:00+00
5213,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,2,2B,2021/01/03 07:39:00+00
1203,ROBBERY,211 PC ROBBERY-SHOPLIFT,1,1A,2021/01/03 02:32:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,2021/01/03 02:58:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1A,2021/01/02 21:00:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6E,2021/01/02 12:39:00+00
1210,ROBBERY,211 PC ROBBERY-PURSE SNATCH,5,5C,2021/01/03 02:50:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,2021/01/03 10:30:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4A,2021/01/03 08:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,2021/01/03 05:30:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,2021/01/03 00:00:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,2021/01/03 16:16:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/01/03 04:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,2021/01/03 13:05:00+00
2099,ARSON,452(D)PC CAUSE FIRE OF PROPERT,2,2B,2021/01/02 11:53:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2A,2021/01/03 21:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,2021/01/03 18:30:00+00
5212,WEAPON OFFENSE,417.3 EXH F/ARM PRES VEH OCCUP,UI,UI,2021/01/02 21:45:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,2021/01/02 19:31:00+00
7000,TOWED/STORED,TOWED/STORED VEHICLE,5,5A,2021/01/03 17:00:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1C,2021/01/03 21:50:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,2021/01/03 08:41:00+00
1315,AGG ASSAULT,245(A)(2) AWDW-FIREARM,4,4B,2021/01/02 22:40:00+00
1299,ROBBERY,211 PC ROBBERY-BUSINESS,6,6C,2021/01/03 14:17:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,2021/01/02 15:20:00+00
5213,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,6,6A,2021/01/01 11:05:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,UI,UI,2021/01/02 13:30:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,2,2C,2021/01/03 00:13:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3A,2021/01/02 01:12:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,2021/01/03 02:31:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,2,2A,2021/01/03 07:59:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2A,2021/01/03 07:27:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,2021/01/03 00:14:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,2021/01/03 02:17:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,2021/01/03 12:30:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4C,2021/01/03 17:03:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5B,2021/01/03 11:00:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2C,2021/01/03 23:24:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,2021/01/03 09:06:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,2021/01/03 07:07:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-M,6,6A,2021/01/03 10:49:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,2021/01/03 14:09:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1A,2021/01/03 22:20:00+00
4801,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,3,3M,2021/01/03 23:48:00+00
5212,WEAPON OFFENSE,417.3 EXH F/ARM PRES VEH OCCUP,1,1C,2021/01/04 02:13:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,2021/01/03 05:48:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6D,2021/01/03 00:25:00+00
2308,LARCENY,487(A) GRAND THEFT-INSIDE,6,6E,2021/01/03 23:36:00+00
5213,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,5,5A,2021/01/01 18:58:00+00
1299,ROBBERY,211 PC ROBBERY-BUSINESS,6,6C,2021/01/04 02:42:00+00
2803,STOLEN PROP,496(A) REC STOLEN PROP-FEL,6,6D,2021/01/03 13:32:00+00
5005,OBST JUDICIARY,166(C)(4) VIOL R/O W/PRIORS,4,4C,2021/01/03 11:15:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,6,6C,2021/01/04 02:44:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,2021/01/01 19:35:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,6,6A,2021/01/01 20:30:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,5,5A,2021/01/01 22:30:00+00
2299,BURGLARY,459 PC BURG VEHICLE,6,6E,2021/01/01 21:55:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3B,2021/01/02 17:20:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,6,6C,2021/01/01 13:30:00+00
4801,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2B,2021/01/03 23:20:00+00
3560,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,2,2B,2021/01/04 06:21:00+00
2302,LARCENY,487(C) GRAND THEFT-PURSE SNTCH,2,2B,2021/01/03 23:00:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6E,2021/01/01 08:00:00+00
2399,LARCENY,484 PC PETTY THEFT,1,1A,2021/01/02 01:00:00+00
2399,LARCENY,484 PC PETTY THEFT,1,1B,2021/01/02 04:00:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6B,2021/01/02 13:45:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6B,2021/01/02 10:25:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3A,2021/01/04 06:17:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,2021/01/04 06:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,2021/01/04 07:00:00+00
2099,ARSON,451(C) PC ARSON STRUC/LAND,6,6C,2021/01/02 07:09:00+00
5212,WEAPON OFFENSE,25850(C)(6) LOAD GUN NOT R/O-F,1,1B,2021/01/04 06:12:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6D,2021/01/01 08:10:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,6,6B,2021/01/03 22:53:00+00
2099,ARSON,451(D) PC ARSON OF PROPERTY,6,6B,2021/01/04 13:49:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,2021/01/01 08:47:00+00
3599,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,2,2B,2021/01/04 04:35:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,2021/01/03 07:01:00+00
2999,VANDALISM,594(A)(2) VANDALISM-DAMAGE,3,3A,2021/01/01 19:05:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6D,2021/01/02 10:30:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,4,4A,2021/01/04 05:53:00+00
5212,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-F,5,5A,2021/01/04 05:57:00+00
5213,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5A,2021/01/03 08:01:00+00
5213,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,6,6A,2021/01/03 17:08:00+00
5707,PRIVACY,602 PC TRESPASS,2,2B,2021/01/04 18:40:00+00
1399,BATTERY,243(D) BATTERY CIVILIAN W/INJ,6,6B,2021/01/03 19:01:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4A,2021/01/03 02:30:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,2021/01/03 20:30:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,2,2C,2021/01/02 20:00:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,2021/01/03 18:30:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,2021/01/04 20:36:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4B,2021/01/04 15:00:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2B,2021/01/02 13:48:00+00
2399,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6B,2021/01/03 13:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3M,2021/01/02 05:45:00+00
7399,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6D,2021/01/04 17:44:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,2021/01/04 20:02:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,2021/01/04 13:00:00+00
1299,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6B,2021/01/04 15:20:00+00
5213,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,3,3A,2021/01/03 16:24:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2C,2021/01/04 01:15:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,2021/01/01 10:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6B,2021/01/02 06:42:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6E,2021/01/03 11:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,2021/01/03 10:45:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1B,2021/01/03 19:25:00+00
5401,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2A,2021/01/01 13:07:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,2021/01/05 04:12:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,2021/01/03 19:00:00+00
7399,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,5,5C,2021/01/04 23:15:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1B,2021/01/04 02:00:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,6,6E,2021/01/04 01:30:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2C,2021/01/02 03:30:00+00
4803,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,1,1A,2021/01/03 23:34:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2A,2021/01/02 19:30:00+00
2506,FORGERY,475(A)PC POSS FORGED CHK/NOTE,1,1A,2021/01/04 03:13:00+00
2310,LARCENY,1708 US THEFT OF MAIL,3,3A,2021/01/03 19:30:00+00
2310,LARCENY,1708 US THEFT OF MAIL,3,3B,2021/01/03 21:00:00+00
2399,LARCENY,484 PC PETTY THEFT,5,5A,2021/01/01 14:13:00+00
2305,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,2,2A,2021/01/03 01:35:00+00
2202,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,2021/01/02 03:00:00+00
2204,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4A,2021/01/02 08:05:00+00
1315,AGG ASSAULT,245(A)(4)AWDW-FORCE ONLY,2,2B,2021/01/05 09:53:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,2021/01/01 11:00:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,2021/01/04 02:58:00+00
2604,FRAUD,530.5(A) GET CRED W/OTH ID-MIS,3,3B,2021/01/03 07:13:00+00
5499,TRAFFIC,2800.1(A) VC EVADE PEACE OFCR,2,2B,2021/01/05 04:03:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,5,5B,2021/01/03 12:00:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6A,2021/01/05 07:06:00+00
4801,OBSTRUCTING,148(A)(1)PC RESIST PEACE OFFCR,2,2C,2021/01/04 06:31:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,1,1A,2021/01/05 01:06:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5C,2021/01/05 04:42:00+00
1315,AGG ASSAULT,245(A)(2) AWDW-FIREARM,6,6A,2021/01/05 08:39:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,2021/01/05 04:15:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6C,2021/01/04 11:30:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,2021/01/02 10:00:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,2,2C,2021/01/03 22:30:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,2021/01/04 08:01:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,3,3B,2021/01/01 23:30:00+00
2399,LARCENY,484 PC PETTY THEFT,6,6B,2021/01/02 12:08:00+00
2399,LARCENY,490.2 GRAND THEFT <$950,6,6E,2021/01/02 09:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/01/03 06:35:00+00
2304,LARCENY,484 PC PETTY THEFT AUTO PART,4,4A,2021/01/03 09:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3A,2021/01/03 20:00:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4B,2021/01/03 22:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/01/05 06:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,2021/01/05 16:30:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,2021/01/05 04:00:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,2021/01/02 06:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,2021/01/05 06:00:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,2021/01/04 16:30:00+00
5202,WEAPON OFFENSE,25400(A)(2) CCW ON PERSON-MIS,2,2A,2021/01/05 20:14:00+00
5401,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,1,1C,2021/01/02 04:55:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5C,2021/01/05 07:00:00+00
3599,NARCOTICS,11350(A) POSS CONTROLLED SUBST,4,4A,2021/01/04 10:12:00+00
3560,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,6,6A,2021/01/04 22:32:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,6,6C,2021/01/05 07:23:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,4,4B,2021/01/05 10:02:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1A,2021/01/02 01:25:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,3,3A,2021/01/01 20:00:00+00
2999,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1B,2021/01/04 12:43:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1C,2021/01/05 06:48:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5C,2021/01/05 07:57:00+00
7399,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,5,5B,2021/01/05 11:21:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,2021/01/05 17:30:00+00
5011,OBST JUDICIARY,3056 PAROLE VIOLATION,6,6A,2021/01/05 21:13:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6D,2021/01/05 21:11:00+00
1210,ROBBERY,211 PC ROBBERY-PURSE SNATCH,5,5B,2021/01/05 00:48:00+00
5212,WEAPON OFFENSE,417(A)1) PC BRANDISH NON-GUN,3,3M,2021/01/04 19:25:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,2021/01/02 20:00:00+00
5404,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,5,5C,2021/01/05 23:30:00+00
1313,ASSAULT,368(C) CAUSE PAIN/INJ TO ELDER,1,1A,2021/01/04 23:32:00+00
5212,WEAPON OFFENSE,30605 POSS ASSAULT WEAPON,2,2A,2021/01/04 21:56:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,2021/01/05 18:46:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,1,1A,2021/01/05 18:49:00+00
5212,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,3,3A,2021/01/05 23:22:00+00
3560,NARCOTICS,11359(B) POSS MARIJ FOR SALE-M,2,2A,2021/01/05 23:46:00+00
2399,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,2021/01/05 14:39:00+00
2404,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2B,2021/01/05 20:38:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,2021/01/05 15:01:00+00
1203,ROBBERY,211 PC ROBBERY-SHOPLIFT,2,2B,2021/01/06 00:38:00+00
5404,TRAFFIC,23152(A) DUI ALCOHOL,2,2C,2021/01/06 01:20:00+00
1315,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,2021/01/06 00:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/01/04 22:45:00+00
1299,ROBBERY,211 PC ROBBERY-UNSPECIFIED,4,4A,2021/01/05 05:14:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1B,2021/01/05 03:30:00+00
1313,ASSAULT,368(C) CAUSE PAIN/INJ TO ELDER,6,6B,2021/01/04 01:30:00+00
5212,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,6,6C,2021/01/05 17:15:00+00
5213,WEAPON OFFENSE,246 PC SHOOT OCCUP DWELL/VEH,5,5A,2021/01/05 19:13:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,4,4B,2021/01/05 21:13:00+00
2404,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,2021/01/06 02:30:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3A,2021/01/03 09:13:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,4,4C,2021/01/04 09:48:00+00
3599,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3B,2021/01/03 07:39:00+00
3599,NARCOTICS,11377(A) POSS DANGEROUS DRUG,UI,UI,2021/01/06 10:11:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5A,2021/01/02 22:05:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,1,1A,2021/01/05 07:30:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,2021/01/01 08:30:00+00
5400,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,5,5A,2021/01/03 06:10:00+00
2999,VANDALISM,594(A)(1) VANDALISM-GRAFFITI,4,4C,2021/01/02 11:15:00+00
2299,BURGLARY,459 PC BURG VEHICLE,4,4A,2021/01/02 11:00:00+00
2999,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3M,2021/01/05 08:00:00+00
2399,LARCENY,487(A) GRAND THFT-RECYCL METAL,6,6C,2021/01/01 18:15:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/01/02 11:52:00+00
2399,LARCENY,484 PC PETTY THEFT,3,3B,2021/01/03 18:05:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,2,2A,2021/01/04 13:50:00+00
1313,BATTERY,242 PC BATTERY CIVILIAN,2,2A,2021/01/04 03:20:00+00
2304,LARCENY,487(A) GRAND THEFT-AUTO PARTS,1,1A,2021/01/03 09:00:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,1,1C,2021/01/03 18:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,1,1A,2021/01/03 11:40:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3B,2021/01/03 01:20:00+00
2299,BURGLARY,459 PC BURG VEHICLE,4,4A,2021/01/02 07:00:00+00
2203,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3A,2021/01/05 12:00:00+00
2299,BURGLARY,459 PC BURG VEHICLE,2,2A,2021/01/02 08:00:00+00
2303,LARCENY,487(A) PC GRAND THEFT >$950,4,4C,2021/01/05 06:00:00+00
1315,AGG ASSAULT,245(A)(2) AWDW-FIREARM,3,3A,2021/01/06 06:18:00+00
2299,BURGLARY,459 PC BURG VEHICLE,3,3A,2021/01/05 06:28:00+00
2299,BURGLARY,459 PC BURG VEHICLE,2,2B,2021/01/05 03:50:00+00
2205,BURGLARY,459 PC BURG BUSINESS-NO FORCE,3,3B,2021/01/06 08:36:00+00
2299,BURGLARY,459 PC BURG VEHICLE,4,4A,2021/01/05 12:20:00+00
2299,BURGLARY,459 PC BURG VEHICLE,4,4A,2021/01/05 09:00:00+00
2399,LARCENY,490.2 GRAND THEFT <$950,6,6A,2021/01/05 16:00:00+00
2399,LARCENY,487(J) GRAND THFT-COPPER <$950,4,4A,2021/01/05 20:30:00+00
5202,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,2,2B,2021/01/04 08:53:00+00
2299,BURGLARY,459 PC BURG VEHICLE,4,4A,2021/01/05 13:15:00+00
2206,BURGLARY,466 PC POSS OF BURG TOOLS,6,6C,2021/01/06 09:28:00+00
5212,WEAPON OFFENSE,25850(A) LOADED GUN IN PUB-F,1,1B,2021/01/06 09:13:00+00
